date_time,Bus No,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude,Distance
2020-01-09 16:17:26,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35546,80.42511999999999,43.884140438868755
2020-01-09 16:17:27,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35529,80.42548000000001,16.521859455635237
2020-01-09 16:17:28,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35529,80.42563,12.324791079195059
2020-01-09 16:17:29,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35524,80.42573,9.974621324762232
2020-01-09 16:17:30,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35525,80.42582,12.166404925096678
2020-01-09 16:17:31,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35524,80.42593000000001,16.277849013031513
2020-01-09 16:17:32,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35517,80.42605999999999,16.0424419264121
2020-01-09 16:17:33,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35513,80.4262,13.263683877603164
2020-01-09 16:17:34,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35512,80.42631999999999,15.578246481357803
2020-01-09 16:17:35,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.3551,80.42645999999999,14.69833551844665
2020-01-09 16:17:36,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35507,80.42659,13.401303100258913
2020-01-09 16:17:37,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35505,80.42671,13.62757774871275
2020-01-09 16:17:38,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35502,80.42683000000001,14.488796255694071
2020-01-09 16:17:39,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.355,80.42696,13.627579378830644
2020-01-09 16:17:40,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35497,80.42708,15.34966394436766
2020-01-09 16:17:41,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35492,80.42721,15.34966563878082
2020-01-09 16:17:42,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35487,80.42734,14.789762012895567
2020-01-09 16:17:43,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35481,80.42746,15.781869243358262
2020-01-09 16:17:44,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35475,80.42759000000001,14.789765604500214
2020-01-09 16:17:45,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35469,80.42771,16.277866554446128
2020-01-09 16:17:46,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.354619999999999,80.42784,14.378275646869948
2020-01-09 16:17:47,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35455,80.42795,14.789771589998372
2020-01-09 16:17:48,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35449,80.42806999999999,15.781879784323817
2020-01-09 16:17:49,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35443,80.4282,16.381987481363836
2020-01-09 16:17:50,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35438,80.42834,17.93297037946202
2020-01-09 16:17:51,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35435,80.4285,16.8517606682164
2020-01-09 16:17:52,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35432,80.42865,19.01650841141459
2020-01-09 16:17:53,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.354289999999999,80.42882,19.01650981897086
2020-01-09 16:17:54,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35426,80.42899,15.773355327253578
2020-01-09 16:17:55,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.354230000000001,80.42913,16.04247734496805
2020-01-09 16:17:56,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35419,80.42926999999999,16.6693168800705
2020-01-09 16:17:57,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35417,80.42942,14.698368516937226
2020-01-09 16:17:58,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35414,80.42955,14.698369578652214
2020-01-09 16:17:59,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35411,80.42968,16.042481867836035
2020-01-09 16:18:00,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35407,80.42981999999999,14.986809040836325
2020-01-09 16:18:01,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35403,80.42995,14.698373482871164
2020-01-09 16:18:02,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.354,80.43008,13.938224827626625
2020-01-09 16:18:03,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35396,80.4302,14.986812865296091
2020-01-09 16:18:04,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35392,80.43033,11.86982075267809
2020-01-09 16:18:05,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35388,80.43043,14.488837313930699
2020-01-09 16:18:06,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.353860000000001,80.43056,13.401343245808269
2020-01-09 16:18:07,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35384,80.43068000000001,12.116075002520803
2020-01-09 16:18:08,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35384,80.43079,13.263726801229865
2020-01-09 16:18:09,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35385,80.43091,14.488837675533944
2020-01-09 16:18:10,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35387,80.43104,14.3616449258291
2020-01-09 16:18:11,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35388,80.43117,15.578293880409717
2020-01-09 16:18:12,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.3539,80.43131,15.578293103420217
2020-01-09 16:18:13,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35392,80.43145,14.361643109969977
2020-01-09 16:18:14,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35393,80.43158000000001,14.361642745114857
2020-01-09 16:18:15,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35394,80.43171,13.40133992700408
2020-01-09 16:18:16,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35396,80.43183,13.263722777396383
2020-01-09 16:18:17,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35397,80.43195,11.069996195986015
2020-01-09 16:18:18,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35398,80.43205,11.069995914204954
2020-01-09 16:18:19,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35399,80.43215,12.116070376544442
2020-01-09 16:18:20,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35399,80.43226,9.913148489645224
2020-01-09 16:18:21,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35399,80.43235,8.880823215148517
2020-01-09 16:18:22,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.354,80.43243000000001,8.880822989909213
2020-01-09 16:18:23,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35401,80.43251,4.405796236471877
2020-01-09 16:18:24,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35401,80.43255,1.1014490577166822
2020-01-09 16:18:25,NA-7111,Thursday,Normal,4.0,4.5,4.5,32,32,8.35401,80.43256,1.5608893554082528
