Bus No,Date,Time,Week Day,Bus Type,Driver Rating Based On Time,Driver Rating Based On Decepline,Bus Rating,Driver Age,Weather,Longtide,Latitude
NA-7111,2020-01-09,16:17:20,Thursday,Normal,4,4.5,4.5,32,32,8.35347,80.42224
NA-7111,2020-01-09,16:17:26,Thursday,Normal,4,4.5,4.5,32,32,8.35546,80.42512
NA-7111,2020-01-09,16:17:27,Thursday,Normal,4,4.5,4.5,32,32,8.35529,80.42548
NA-7111,2020-01-09,16:17:28,Thursday,Normal,4,4.5,4.5,32,32,8.35529,80.42563
NA-7111,2020-01-09,16:17:29,Thursday,Normal,4,4.5,4.5,32,32,8.35524,80.42573
NA-7111,2020-01-09,16:17:30,Thursday,Normal,4,4.5,4.5,32,32,8.35525,80.42582
NA-7111,2020-01-09,16:17:31,Thursday,Normal,4,4.5,4.5,32,32,8.35524,80.42593
NA-7111,2020-01-09,16:17:32,Thursday,Normal,4,4.5,4.5,32,32,8.35517,80.42606
NA-7111,2020-01-09,16:17:33,Thursday,Normal,4,4.5,4.5,32,32,8.35513,80.4262
NA-7111,2020-01-09,16:17:34,Thursday,Normal,4,4.5,4.5,32,32,8.35512,80.42632
NA-7111,2020-01-09,16:17:35,Thursday,Normal,4,4.5,4.5,32,32,8.3551,80.42646
NA-7111,2020-01-09,16:17:36,Thursday,Normal,4,4.5,4.5,32,32,8.35507,80.42659
NA-7111,2020-01-09,16:17:37,Thursday,Normal,4,4.5,4.5,32,32,8.35505,80.42671
NA-7111,2020-01-09,16:17:38,Thursday,Normal,4,4.5,4.5,32,32,8.35502,80.42683
NA-7111,2020-01-09,16:17:39,Thursday,Normal,4,4.5,4.5,32,32,8.355,80.42696
NA-7111,2020-01-09,16:17:40,Thursday,Normal,4,4.5,4.5,32,32,8.35497,80.42708
NA-7111,2020-01-09,16:17:41,Thursday,Normal,4,4.5,4.5,32,32,8.35492,80.42721
NA-7111,2020-01-09,16:17:42,Thursday,Normal,4,4.5,4.5,32,32,8.35487,80.42734
NA-7111,2020-01-09,16:17:43,Thursday,Normal,4,4.5,4.5,32,32,8.35481,80.42746
NA-7111,2020-01-09,16:17:44,Thursday,Normal,4,4.5,4.5,32,32,8.35475,80.42759
NA-7111,2020-01-09,16:17:45,Thursday,Normal,4,4.5,4.5,32,32,8.35469,80.42771
NA-7111,2020-01-09,16:17:46,Thursday,Normal,4,4.5,4.5,32,32,8.35462,80.42784
NA-7111,2020-01-09,16:17:47,Thursday,Normal,4,4.5,4.5,32,32,8.35455,80.42795
NA-7111,2020-01-09,16:17:48,Thursday,Normal,4,4.5,4.5,32,32,8.35449,80.42807
NA-7111,2020-01-09,16:17:49,Thursday,Normal,4,4.5,4.5,32,32,8.35443,80.4282
NA-7111,2020-01-09,16:17:50,Thursday,Normal,4,4.5,4.5,32,32,8.35438,80.42834
NA-7111,2020-01-09,16:17:51,Thursday,Normal,4,4.5,4.5,32,32,8.35435,80.4285
NA-7111,2020-01-09,16:17:52,Thursday,Normal,4,4.5,4.5,32,32,8.35432,80.42865
NA-7111,2020-01-09,16:17:53,Thursday,Normal,4,4.5,4.5,32,32,8.35429,80.42882
NA-7111,2020-01-09,16:17:54,Thursday,Normal,4,4.5,4.5,32,32,8.35426,80.42899
NA-7111,2020-01-09,16:17:55,Thursday,Normal,4,4.5,4.5,32,32,8.35423,80.42913
NA-7111,2020-01-09,16:17:56,Thursday,Normal,4,4.5,4.5,32,32,8.35419,80.42927
NA-7111,2020-01-09,16:17:57,Thursday,Normal,4,4.5,4.5,32,32,8.35417,80.42942
NA-7111,2020-01-09,16:17:58,Thursday,Normal,4,4.5,4.5,32,32,8.35414,80.42955
NA-7111,2020-01-09,16:17:59,Thursday,Normal,4,4.5,4.5,32,32,8.35411,80.42968
NA-7111,2020-01-09,16:18:00,Thursday,Normal,4,4.5,4.5,32,32,8.35407,80.42982
NA-7111,2020-01-09,16:18:01,Thursday,Normal,4,4.5,4.5,32,32,8.35403,80.42995
NA-7111,2020-01-09,16:18:02,Thursday,Normal,4,4.5,4.5,32,32,8.354,80.43008
NA-7111,2020-01-09,16:18:03,Thursday,Normal,4,4.5,4.5,32,32,8.35396,80.4302
NA-7111,2020-01-09,16:18:04,Thursday,Normal,4,4.5,4.5,32,32,8.35392,80.43033
NA-7111,2020-01-09,16:18:05,Thursday,Normal,4,4.5,4.5,32,32,8.35388,80.43043
NA-7111,2020-01-09,16:18:06,Thursday,Normal,4,4.5,4.5,32,32,8.35386,80.43056
NA-7111,2020-01-09,16:18:07,Thursday,Normal,4,4.5,4.5,32,32,8.35384,80.43068
NA-7111,2020-01-09,16:18:08,Thursday,Normal,4,4.5,4.5,32,32,8.35384,80.43079
NA-7111,2020-01-09,16:18:09,Thursday,Normal,4,4.5,4.5,32,32,8.35385,80.43091
NA-7111,2020-01-09,16:18:10,Thursday,Normal,4,4.5,4.5,32,32,8.35387,80.43104
NA-7111,2020-01-09,16:18:11,Thursday,Normal,4,4.5,4.5,32,32,8.35388,80.43117
NA-7111,2020-01-09,16:18:12,Thursday,Normal,4,4.5,4.5,32,32,8.3539,80.43131
NA-7111,2020-01-09,16:18:13,Thursday,Normal,4,4.5,4.5,32,32,8.35392,80.43145
NA-7111,2020-01-09,16:18:14,Thursday,Normal,4,4.5,4.5,32,32,8.35393,80.43158
NA-7111,2020-01-09,16:18:15,Thursday,Normal,4,4.5,4.5,32,32,8.35394,80.43171
