Bus No,Date,Time,Driver rating based on time,Driver rating based on decipline,Bus rating,Driver Age,Weather,Bus type,Longtide,Latitude,Start/End
NC - 5210,2020/02/18,12:04:04,4,4.5,4.5,32,32,Normal,8.3590491,80.513081,Mihintale Junction
NC - 5210,2020/02/18,12:04:15,4,4.5,4.5,32,32,Normal,8.3590484,80.5130795,
NC - 5210,2020/02/18,12:04:25,4,4.5,4.5,32,32,Normal,8.3590496,80.5130801,
NC - 5210,2020/02/18,12:04:35,4,4.5,4.5,32,32,Normal,8.3590502,80.5130812,
NC - 5210,2020/02/18,12:04:45,4,4.5,4.5,32,32,Normal,8.3590498,80.513082,
NC - 5210,2020/02/18,12:04:55,4,4.5,4.5,32,32,Normal,8.3590493,80.5130822,
NC - 5210,2020/02/18,12:05:05,4,4.5,4.5,32,32,Normal,8.3590477,80.5130818,
NC - 5210,2020/02/18,12:05:15,4,4.5,4.5,32,32,Normal,8.3589401,80.5130642,
NC - 5210,2020/02/18,12:05:24,4,4.5,4.5,32,32,Normal,8.3588051,80.5130721,
NC - 5210,2020/02/18,12:05:36,4,4.5,4.5,32,32,Normal,8.3586682,80.5129318,
NC - 5210,2020/02/18,12:05:46,4,4.5,4.5,32,32,Normal,8.3585421,80.5124625,
NC - 5210,2020/02/18,12:05:56,4,4.5,4.5,32,32,Normal,8.3583876,80.5117545,
NC - 5210,2020/02/18,12:06:05,4,4.5,4.5,32,32,Normal,8.3583008,80.5112515,
NC - 5210,2020/02/18,12:06:16,4,4.5,4.5,32,32,Normal,8.3581284,80.5105421,
NC - 5210,2020/02/18,12:06:28,4,4.5,4.5,32,32,Normal,8.3579433,80.5097983,
NC - 5210,2020/02/18,12:06:35,4,4.5,4.5,32,32,Normal,8.3579352,80.5097256,
NC - 5210,2020/02/18,12:06:46,4,4.5,4.5,32,32,Normal,8.3579123,80.5095722,
NC - 5210,2020/02/18,12:06:58,4,4.5,4.5,32,32,Normal,8.3578669,80.5093629,
NC - 5210,2020/02/18,12:07:06,4,4.5,4.5,32,32,Normal,8.3578725,80.5093145,
NC - 5210,2020/02/18,12:07:16,4,4.5,4.5,32,32,Normal,8.3579158,80.509365,
NC - 5210,2020/02/18,12:07:27,4,4.5,4.5,32,32,Normal,8.3579354,80.5094014,
NC - 5210,2020/02/18,12:07:34,4,4.5,4.5,32,32,Normal,8.3579349,80.5093935,
NC - 5210,2020/02/18,12:07:46,4,4.5,4.5,32,32,Normal,8.357949,80.5094543,
NC - 5210,2020/02/18,12:07:57,4,4.5,4.5,32,32,Normal,8.3579603,80.5095059,
NC - 5210,2020/02/18,12:08:05,4,4.5,4.5,32,32,Normal,8.3579649,80.5095725,
NC - 5210,2020/02/18,12:08:16,4,4.5,4.5,32,32,Normal,8.3579707,80.5096019,
NC - 5210,2020/02/18,12:08:27,4,4.5,4.5,32,32,Normal,8.3579702,80.5096082,
NC - 5210,2020/02/18,12:08:36,4,4.5,4.5,32,32,Normal,8.3579635,80.5095875,
NC - 5210,2020/02/18,12:08:45,4,4.5,4.5,32,32,Normal,8.3579336,80.5086162,
NC - 5210,2020/02/18,12:08:59,4,4.5,4.5,32,32,Normal,8.3581016,80.505602,
NC - 5210,2020/02/18,12:09:06,4,4.5,4.5,32,32,Normal,8.3581999,80.504251,
NC - 5210,2020/02/18,12:09:15,4,4.5,4.5,32,32,Normal,8.3581223,80.5035474,
NC - 5210,2020/02/18,12:09:26,4,4.5,4.5,32,32,Normal,8.3580219,80.5028643,
NC - 5210,2020/02/18,12:09:37,4,4.5,4.5,32,32,Normal,8.3580617,80.5036724,
NC - 5210,2020/02/18,12:09:45,4,4.5,4.5,32,32,Normal,8.3580698,80.5035911,
NC - 5210,2020/02/18,12:09:58,4,4.5,4.5,32,32,Normal,8.3579828,80.5027021,
NC - 5210,2020/02/18,12:10:12,4,4.5,4.5,32,32,Normal,8.3578985,80.502329,
NC - 5210,2020/02/18,12:10:26,4,4.5,4.5,32,32,Normal,8.3579065,80.5025761,
NC - 5210,2020/02/18,12:10:37,4,4.5,4.5,32,32,Normal,8.3579118,80.5026396,
NC - 5210,2020/02/18,12:10:48,4,4.5,4.5,32,32,Normal,8.3579233,80.5026774,
NC - 5210,2020/02/18,12:10:55,4,4.5,4.5,32,32,Normal,8.3579311,80.5026272,
NC - 5210,2020/02/18,12:11:06,4,4.5,4.5,32,32,Normal,8.3579272,80.5025958,
NC - 5210,2020/02/18,12:11:16,4,4.5,4.5,32,32,Normal,8.357927,80.5025795,
NC - 5210,2020/02/18,12:11:27,4,4.5,4.5,32,32,Normal,8.3579285,80.5025836,
NC - 5210,2020/02/18,12:11:37,4,4.5,4.5,32,32,Normal,8.3578812,80.5020901,
NC - 5210,2020/02/18,12:11:47,4,4.5,4.5,32,32,Normal,8.35764,80.5010102,
NC - 5210,2020/02/18,12:11:57,4,4.5,4.5,32,32,Normal,8.3574196,80.4999461,
NC - 5210,2020/02/18,12:12:07,4,4.5,4.5,32,32,Normal,8.3573226,80.4987254,
NC - 5210,2020/02/18,12:12:18,4,4.5,4.5,32,32,Normal,8.3573721,80.4971923,
NC - 5210,2020/02/18,12:12:29,4,4.5,4.5,32,32,Normal,8.3575115,80.4966741,
NC - 5210,2020/02/18,12:12:38,4,4.5,4.5,32,32,Normal,8.3574281,80.4967354,
NC - 5210,2020/02/18,12:12:49,4,4.5,4.5,32,32,Normal,8.3572325,80.4957267,
