Longtide,Latitude,Week Day,Time
8.35347,80.42224,Thursday,16:17:20
8.35546,80.42512,Thursday,16:17:26
8.35529,80.42548,Thursday,16:17:27
8.35529,80.42563,Thursday,16:17:28
8.35524,80.42573,Thursday,16:17:29
8.35525,80.42582,Thursday,16:17:30
8.35524,80.42593,Thursday,16:17:31
8.35517,80.42606,Thursday,16:17:32
8.35513,80.4262,Thursday,16:17:33
8.35512,80.42632,Thursday,16:17:34
8.3551,80.42646,Thursday,16:17:35
8.35507,80.42659,Thursday,16:17:36
8.35505,80.42671,Thursday,16:17:37
8.35502,80.42683,Thursday,16:17:38
8.355,80.42696,Thursday,16:17:39
8.35497,80.42708,Thursday,16:17:40
8.35492,80.42721,Thursday,16:17:41
8.35487,80.42734,Thursday,16:17:42
8.35481,80.42746,Thursday,16:17:43
8.35475,80.42759,Thursday,16:17:44
8.35469,80.42771,Thursday,16:17:45
8.35462,80.42784,Thursday,16:17:46
8.35455,80.42795,Thursday,16:17:47
8.35449,80.42807,Thursday,16:17:48
8.35443,80.4282,Thursday,16:17:49
8.35438,80.42834,Thursday,16:17:50
8.35435,80.4285,Thursday,16:17:51
8.35432,80.42865,Thursday,16:17:52
8.35429,80.42882,Thursday,16:17:53
8.35426,80.42899,Thursday,16:17:54
8.35423,80.42913,Thursday,16:17:55
8.35419,80.42927,Thursday,16:17:56
8.35417,80.42942,Thursday,16:17:57
8.35414,80.42955,Thursday,16:17:58
8.35411,80.42968,Thursday,16:17:59
8.35407,80.42982,Thursday,16:18:00
8.35403,80.42995,Thursday,16:18:01
8.354,80.43008,Thursday,16:18:02
8.35396,80.4302,Thursday,16:18:03
8.35392,80.43033,Thursday,16:18:04
8.35388,80.43043,Thursday,16:18:05
8.35386,80.43056,Thursday,16:18:06
8.35384,80.43068,Thursday,16:18:07
8.35384,80.43079,Thursday,16:18:08
8.35385,80.43091,Thursday,16:18:09
8.35387,80.43104,Thursday,16:18:10
8.35388,80.43117,Thursday,16:18:11
8.3539,80.43131,Thursday,16:18:12
8.35392,80.43145,Thursday,16:18:13
8.35393,80.43158,Thursday,16:18:14
8.35394,80.43171,Thursday,16:18:15
8.35396,80.43183,Thursday,16:18:16
8.35397,80.43195,Thursday,16:18:17
8.35398,80.43205,Thursday,16:18:18
8.35399,80.43215,Thursday,16:18:19
8.35399,80.43226,Thursday,16:18:20
8.35399,80.43235,Thursday,16:18:21
8.354,80.43243,Thursday,16:18:22
8.35401,80.43251,Thursday,16:18:23
8.35401,80.43255,Thursday,16:18:24
8.35401,80.43256,Thursday,16:18:25
8.354,80.43255,Thursday,16:18:26
8.354,80.43253,Thursday,16:18:27
8.35399,80.43251,Thursday,16:18:28
8.35399,80.43249,Thursday,16:18:29
8.35399,80.43252,Thursday,16:18:31
8.35399,80.43256,Thursday,16:18:32
8.354,80.43262,Thursday,16:18:33
8.354,80.43268,Thursday,16:18:34
8.35401,80.43274,Thursday,16:18:35
8.35401,80.43281,Thursday,16:18:36
8.35401,80.4329,Thursday,16:18:37
8.35401,80.43298,Thursday,16:18:38
8.35401,80.43305,Thursday,16:18:39
8.35401,80.43313,Thursday,16:18:40
8.354,80.43321,Thursday,16:18:41
8.35401,80.43332,Thursday,16:18:42
8.35402,80.43343,Thursday,16:18:43
8.35404,80.43353,Thursday,16:18:44
8.35405,80.43366,Thursday,16:18:45
8.35407,80.43379,Thursday,16:18:46
8.35408,80.43392,Thursday,16:18:47
8.3541,80.43404,Thursday,16:18:48
8.35411,80.43415,Thursday,16:18:49
8.35411,80.43426,Thursday,16:18:50
8.35412,80.43438,Thursday,16:18:51
8.35412,80.43449,Thursday,16:18:52
8.35413,80.43462,Thursday,16:18:53
8.35414,80.43476,Thursday,16:18:54
8.35415,80.4349,Thursday,16:18:55
8.35416,80.43504,Thursday,16:18:56
8.35416,80.43519,Thursday,16:18:57
8.35417,80.43533,Thursday,16:18:58
8.35417,80.43548,Thursday,16:18:59
8.35418,80.43563,Thursday,16:19:00
8.35419,80.43578,Thursday,16:19:01
8.3542,80.43592,Thursday,16:19:02
8.35421,80.43606,Thursday,16:19:03
8.35421,80.43619,Thursday,16:19:04
8.35421,80.4363,Thursday,16:19:05
8.3542,80.43641,Thursday,16:19:06
8.3542,80.43653,Thursday,16:19:07
8.35421,80.43664,Thursday,16:19:08
8.35421,80.43675,Thursday,16:19:09
8.35422,80.43687,Thursday,16:19:10
8.35423,80.437,Thursday,16:19:11
8.35424,80.43713,Thursday,16:19:12
8.35424,80.43725,Thursday,16:19:13
8.35425,80.43737,Thursday,16:19:14
8.35425,80.43748,Thursday,16:19:15
8.35425,80.4376,Thursday,16:19:16
8.35426,80.43773,Thursday,16:19:17
8.35427,80.43785,Thursday,16:19:18
8.35428,80.43797,Thursday,16:19:19
8.3543,80.43809,Thursday,16:19:20
8.35431,80.43821,Thursday,16:19:21
8.35432,80.43832,Thursday,16:19:22
8.35433,80.43842,Thursday,16:19:23
8.35434,80.43853,Thursday,16:19:24
8.35434,80.43863,Thursday,16:19:25
8.35435,80.43874,Thursday,16:19:26
8.35436,80.43885,Thursday,16:19:27
8.35437,80.43896,Thursday,16:19:28
8.35437,80.43908,Thursday,16:19:29
8.35439,80.43919,Thursday,16:19:30
8.35439,80.43929,Thursday,16:19:31
8.3544,80.43939,Thursday,16:19:32
8.3544,80.43947,Thursday,16:19:33
8.35441,80.43954,Thursday,16:19:34
8.35441,80.43961,Thursday,16:19:35
8.35441,80.43968,Thursday,16:19:36
8.35441,80.43974,Thursday,16:19:37
8.35442,80.43982,Thursday,16:19:38
8.35443,80.4399,Thursday,16:19:39
8.35444,80.43999,Thursday,16:19:40
8.35444,80.44008,Thursday,16:19:41
8.35445,80.44016,Thursday,16:19:42
8.35446,80.44026,Thursday,16:19:43
8.35446,80.44036,Thursday,16:19:44
8.35447,80.44046,Thursday,16:19:45
8.35447,80.44057,Thursday,16:19:46
8.35447,80.44067,Thursday,16:19:47
8.35447,80.44077,Thursday,16:19:48
8.35448,80.44086,Thursday,16:19:49
8.35448,80.44096,Thursday,16:19:50
8.35448,80.44106,Thursday,16:19:51
8.35449,80.44116,Thursday,16:19:52
8.35449,80.44125,Thursday,16:19:53
8.3545,80.44134,Thursday,16:19:54
8.35451,80.44143,Thursday,16:19:55
8.35451,80.4415,Thursday,16:19:56
8.35452,80.44157,Thursday,16:19:57
8.35452,80.44165,Thursday,16:19:58
8.35453,80.44172,Thursday,16:19:59
8.35453,80.44179,Thursday,16:20:00
8.35453,80.44186,Thursday,16:20:01
8.35454,80.44195,Thursday,16:20:02
8.35454,80.44203,Thursday,16:20:03
8.35454,80.44211,Thursday,16:20:04
8.35455,80.44219,Thursday,16:20:05
8.35456,80.44226,Thursday,16:20:06
8.35457,80.44234,Thursday,16:20:07
8.35457,80.44241,Thursday,16:20:08
8.35458,80.44248,Thursday,16:20:09
8.35459,80.44256,Thursday,16:20:10
8.35459,80.44265,Thursday,16:20:11
8.3546,80.44272,Thursday,16:20:12
8.35461,80.4428,Thursday,16:20:13
8.35461,80.44287,Thursday,16:20:14
8.35462,80.44295,Thursday,16:20:15
8.35462,80.44303,Thursday,16:20:16
8.35463,80.44311,Thursday,16:20:17
8.35464,80.4432,Thursday,16:20:18
8.35465,80.44329,Thursday,16:20:19
8.35465,80.44338,Thursday,16:20:20
8.35466,80.44346,Thursday,16:20:21
8.35466,80.44353,Thursday,16:20:22
8.35466,80.44359,Thursday,16:20:23
8.35466,80.44364,Thursday,16:20:24
8.35466,80.44367,Thursday,16:20:25
8.35467,80.44369,Thursday,16:20:26
8.35467,80.44368,Thursday,16:20:27
8.35465,80.44364,Thursday,16:20:28
8.35465,80.44362,Thursday,16:20:29
8.35465,80.44361,Thursday,16:20:31
8.35465,80.44363,Thursday,16:20:35
8.35465,80.44365,Thursday,16:20:36
8.35464,80.44369,Thursday,16:20:37
8.35464,80.44372,Thursday,16:20:38
8.35464,80.44376,Thursday,16:20:39
8.35464,80.44382,Thursday,16:20:40
8.35464,80.44388,Thursday,16:20:41
8.35465,80.44396,Thursday,16:20:42
8.35464,80.44401,Thursday,16:20:43
8.35464,80.44409,Thursday,16:20:44
8.35464,80.44415,Thursday,16:20:45
8.35464,80.44422,Thursday,16:20:46
8.35464,80.4443,Thursday,16:20:47
8.35465,80.44439,Thursday,16:20:48
8.35467,80.44449,Thursday,16:20:49
8.35468,80.44458,Thursday,16:20:50
8.35469,80.44468,Thursday,16:20:51
8.35471,80.44479,Thursday,16:20:52
8.35471,80.44489,Thursday,16:20:53
8.35471,80.445,Thursday,16:20:54
8.35472,80.44512,Thursday,16:20:55
8.35472,80.44523,Thursday,16:20:56
8.35473,80.44535,Thursday,16:20:57
8.35475,80.44547,Thursday,16:20:58
8.35476,80.44559,Thursday,16:20:59
8.35478,80.44572,Thursday,16:21:00
8.35479,80.44585,Thursday,16:21:01
8.3548,80.44597,Thursday,16:21:02
8.35481,80.4461,Thursday,16:21:03
8.35482,80.44622,Thursday,16:21:04
8.35483,80.44634,Thursday,16:21:05
8.35484,80.44645,Thursday,16:21:06
8.35484,80.44657,Thursday,16:21:07
8.35485,80.44668,Thursday,16:21:08
8.35485,80.44679,Thursday,16:21:09
8.35485,80.4469,Thursday,16:21:10
8.35485,80.44703,Thursday,16:21:11
8.35485,80.44715,Thursday,16:21:12
8.35485,80.44726,Thursday,16:21:13
8.35485,80.44739,Thursday,16:21:14
8.35486,80.44752,Thursday,16:21:15
8.35487,80.44764,Thursday,16:21:16
8.35488,80.44776,Thursday,16:21:17
8.3549,80.44787,Thursday,16:21:18
8.35491,80.44798,Thursday,16:21:19
8.35492,80.44806,Thursday,16:21:20
8.35492,80.44814,Thursday,16:21:21
8.35494,80.44821,Thursday,16:21:22
8.35496,80.44828,Thursday,16:21:23
8.35499,80.44833,Thursday,16:21:24
8.35501,80.44833,Thursday,16:21:25
8.35502,80.44831,Thursday,16:21:26
8.35503,80.44829,Thursday,16:21:27
8.35502,80.44826,Thursday,16:21:28
8.355,80.44825,Thursday,16:21:31
